'c', 'type(B)','name', 'boundary_type', 'visible(t/f)', 'line rgb-colour', 'rgb-fill-colour',,,,,
'B','MNP01 - Westaways Creek','Exclusion','t',"rgb(0,255,0)","rgb(255,0,255)",,,,,,
'c', 'type(BP)', 'name', lat, lon, 'boundary_type', 'visible', 'rings-visible(t/f)', 'rings-number', 'rings-step', 'rings-units(N/K)', 'rings-colour'
'BP','9',-27.3302666666667,153.087583333333,,,,,,,,
'BP','10',-27.3299833333333,153.089166666667,,,,,,,,
'BP','11',-27.3298333333333,153.0897,,,,,,,,
'BP','12',-27.3294666666667,153.090516666667,,,,,,,,
'BP','13',-27.3264833333333,153.094866666667,,,,,,,,
'BP','14',-27.3218,153.090366666667,,,,,,,,
'BP','0',-27.2828333333333,153.06985,,,,,,,,
'/B',,,,,,,,,,,
'B','MNP14 - Middle Moreton Bay','Exclusion',,,,,,,,,
'BP','0',-27.3071666666667,153.29,,,,,,,,
'BP','1',-27.3071666666667,153.378,,,,,,,,
'BP','2',-27.3685,153.378,,,,,,,,
'BP','3',-27.3685,153.29,,,,,,,,
'BP','0',-27.3071666666667,153.29,,,,,,,,
'/B',,,,,,,,,,,
'B','MNP16 - Mirapool Islands / Offshore Area','Exclusion',,,,,,,,,
'BP','0',-27.3278333333333,153.43915,,,,,,,,
'BP','1',-27.3278333333333,153.486666666667,,,,,,,,
'BP','2',-27.3371666666667,153.486666666667,,,,,,,,
'BP','3',-27.3371666666667,153.566666666667,,,,,,,,
'BP','4',-27.3725,153.566666666667,,,,,,,,
'BP','5',-27.3725,153.446666666667,,,,,,,,
'BP','6',-27.3395,153.446666666667,,,,,,,,
'BP','7',-27.3395,153.438216666667,,,,,,,,
'BP','0',-27.3278333333333,153.43915,,,,,,,,
'/B',,,,,,,,,,,
'B','MNP17 - St Helena Island','Exclusion',,,,,,,,,
'BP','0',-27.3721666666667,153.22,,,,,,,,
'BP','1',-27.3721666666667,153.245333333333,,,,,,,,
'BP','2',-27.4078333333333,153.245333333333,,,,,,,,
'BP','3',-27.4078333333333,153.22,,,,,,,,
'BP','0',-27.3721666666667,153.22,,,,,,,,
'/B',,,,,,,,,,,
'B','MNP18 - Amity Banks (east)','Exclusion',,,,,,,,,
'BP','0',-27.3783666666667,153.394183333333,,,,,,,,
'BP','1',-27.3740333333333,153.397583333333,,,,,,,,
'BP','2',-27.37245,153.403583333333,,,,,,,,
'BP','3',-27.3735,153.408083333333,,,,,,,,
'BP','4',-27.3805833333333,153.416216666667,,,,,,,,
'BP','5',-27.3873333333333,153.42215,,,,,,,,
'BP','6',-27.3857,153.429966666667,,,,,,,,
'BP','7',-27.38195,153.434233333333,,,,,,,,
'BP','8',-27.3858333333333,153.433716666667,,,,,,,,
'BP','9',-27.3978,153.4298,,,,,,,,
'BP','10',-27.4191333333333,153.41605,,,,,,,,
'BP','0',-27.3783666666667,153.394183333333,,,,,,,,
'/B',,,,,,,,,,,
'B','MNP20 - Wanga Wallen Bank','Exclusion',,,,,,,,,
'BP','0',-27.4102,153.43395,,,,,,,,
'BP','1',-27.4102,153.44085,,,,,,,,
'BP','2',-27.4373666666667,153.434366666667,,,,,,,,
'BP','3',-27.4373666666667,153.425833333333,,,,,,,,
'BP','4',-27.4317166666667,153.422816666667,,,,,,,,
'BP','0',-27.4102,153.43395,,,,,,,,
'/B',,,,,,,,,,,
'B','MNP21 - Amity Banks (west)','Exclusion',,,,,,,,,
'BP','0',-27.40925,153.381333333333,,,,,,,,
'BP','1',-27.45685,153.363333333333,,,,,,,,
'BP','0',-27.40925,153.381333333333,,,,,,,,
'/B',,,,,,,,,,,
'B','MNP22 - Myora Reef','Exclusion',,,,,,,,,
'BP','0',-27.4808666666667,153.39935,,,,,,,,
'BP','1',-27.47545,153.402933333333,,,,,,,,
'BP','2',-27.4738833333333,153.40495,,,,,,,,
'BP','3',-27.4724333333333,153.4073,,,,,,,,
'BP','4',-27.4714333333333,153.409433333333,,,,,,,,
'BP','5',-27.4714333333333,153.413683333333,,,,,,,,
'BP','6',-27.4728166666667,153.413683333333,,,,,,,,
'BP','7',-27.4728166666667,153.409433333333,,,,,,,,
'BP','8',-27.4749333333333,153.409433333333,,,,,,,,
'BP','9',-27.4749333333333,153.418866666667,,,,,,,,
'BP','10',-27.4872666666667,153.40735,,,,,,,,
'BP','11',-27.4872666666667,153.39935,,,,,,,,
'BP','0',-27.4808666666667,153.39935,,,,,,,,
'/B',,,,,,,,,,,
'B','MNP23 - Peel Island','Exclusion',,,,,,,,,
